City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
Remedios,CO,1569358622,7.03,-74.7,73.57,82,70,4.92
Mossendjo,CG,1569358622,-2.95,12.72,74.65,88,100,4.68
Havoysund,NO,1569358622,71,24.66,42.8,75,75,18.34
Manono,CD,1569358623,-7.3,27.4,75.55,63,92,0.36
Tawang,BT,1569358623,27.59,91.87,50.71,95,74,2.42
Dauphin,CA,1569358623,51.15,-100.04,60.8,63,75,16.11
Mbanza-Ngungu,CD,1569358624,-5.25,14.87,78.97,65,3,9.73
Cienaga,CO,1569358624,11.01,-74.25,89.6,74,40,4.7
Dingle,PH,1569358624,11,122.67,73.75,94,5,4.29
College,US,1569358624,64.86,-147.8,42.01,57,40,1.54
Mao,DO,1569358503,19.55,-71.08,84.2,94,90,12.75
La Romana,DO,1569358625,18.43,-68.97,87.8,70,75,13.87
Prince Rupert,CA,1569358625,54.32,-130.32,55.4,93,90,5.82
Nsanje,MZ,1569358625,-16.92,35.26,71.59,74,0,10.56
San Clemente,US,1569358535,33.43,-117.61,98.6,33,1,11.41
Longyearbyen,NO,1569358626,78.22,15.63,35.6,93,75,8.05
Bilma,NE,1569358626,18.69,12.92,88.33,11,0,4.83
Maba,CN,1569358626,24.68,113.59,61.51,72,69,1.36
Wagga Wagga,AU,1569358626,-35.12,147.37,37,100,0,4.7
Mount Pleasant,US,1569358626,33.16,-94.97,93.99,49,40,10.29
Christchurch,NZ,1569358627,-43.53,172.64,57,87,0,4.7
Saint-Augustin,CA,1569358627,45.63,-73.98,62.01,67,90,9.17
Erenhot,CN,1569358627,43.65,111.97,63.31,23,0,7.4
Floriano,BR,1569358628,-6.77,-43.02,91.03,30,98,4.79
Ust-Omchug,RU,1569358628,61.13,149.63,20.83,85,100,11.72
Mundo Nuevo,CL,1569358628,-32.72,-71.41,57.2,76,20,10.29
Belyy Yar,RU,1569358628,53.6,91.39,46.4,87,0,2.68
Abulug,PH,1569358629,18.45,121.45,71.77,92,51,3.74
Tilichiki,RU,1569358629,60.47,166.1,33.25,94,100,10.51
Aranos,NA,1569358630,-24.14,19.11,58.63,15,0,12.95
Newark,US,1569358630,40.74,-74.17,78.8,36,40,13.87
Lulea,SE,1569358630,65.58,22.15,39.2,86,0,3.36
Waingapu,ID,1569358631,-9.65,120.26,71.23,92,73,9.8
Bundaberg,AU,1569358631,-24.87,152.35,66.99,93,75,6.93
Cloquet,US,1569358631,46.72,-92.46,73.99,56,1,5.75
Sangar,RU,1569358632,63.92,127.47,31.45,93,100,4.16
Derzhavinsk,KZ,1569358632,51.1,66.31,41.35,54,34,8.03
Phan Thiet,VN,1569358632,10.93,108.1,71.95,93,21,2.37
Waipawa,NZ,1569358633,-39.94,176.59,50,77,29,18.99
Clonakilty,IE,1569358633,51.62,-8.87,57.2,100,75,13.87
Coari,BR,1569358633,-4.09,-63.14,92.11,48,100,2.68
Saldanha,PT,1569358634,41.42,-6.55,59.17,79,0,7.05
Varena,LT,1569358634,54.21,24.57,39.2,69,0,2.24
Safranbolu,TR,1569358634,41.25,32.69,61.33,51,98,1.99
Vandalur,IN,1569358635,12.89,80.08,82.4,88,40,5.82
Tommot,RU,1569358635,58.97,126.27,30.55,89,100,0.92
Hami,CN,1569358635,42.84,93.51,66.37,15,0,3.4
Lere,TD,1569358636,9.66,14.23,77.53,86,98,4.03
Marzuq,YE,1569358636,14.4,46.47,75.01,28,4,1.48
Cobh,IE,1569358636,51.85,-8.29,59,100,75,13.87
Hermiston,US,1569358636,45.84,-119.29,82,36,1,24.16
Verkhnyaya Tishanka,RU,1569358637,51.32,40.54,39.91,59,99,3.8
Noumea,NC,1569358637,-22.28,166.46,72,72,0,15.35
Port Augusta,AU,1569358637,-32.49,137.76,46.99,93,0,5.82
Fukue,JP,1569358638,35.03,136.69,73.4,64,20,18.34
Ashland,US,1569358582,38.48,-82.64,81,31,1,4.7
Peniche,PT,1569358638,39.36,-9.38,64.99,89,0,4
Abu Samrah,SY,1569358638,35.3,37.18,64.75,66,0,4.12
Peterhead,AU,1569358499,-34.83,138.5,46.99,100,20,3.87
Salinopolis,BR,1569358638,-0.61,-47.36,81.13,80,0,18.45
Grinnell,US,1569358634,41.74,-92.72,84.2,61,40,16.11
Nago,IT,1569358639,45.88,10.89,64.99,87,0,3.36
Lyngseidet,NO,1569358639,69.58,20.21,42.8,56,75,11.41
Ekhabi,RU,1569358640,53.51,142.97,47.29,73,100,39.03
Leningradskiy,RU,1569358640,69.38,178.42,34.69,97,100,11.27
Lasa,CY,1569358640,34.92,32.53,73.4,77,20,8.05
Dongli,CN,1569358641,24.18,117.61,71.6,68,0,4.47
Veraval,FR,1569358641,49.65,0.71,60.01,93,74,13.87
Havelock,US,1569358502,34.88,-76.9,88,48,20,6.93
Tairua,NZ,1569358641,-37.02,175.85,55.99,71,0,21
Ossora,RU,1569358642,59.24,163.07,44.95,94,100,12.88
Dongling,CN,1569358642,32.28,121.37,72,72,100,1.63
Tigil,RU,1569358642,57.8,158.67,46.39,69,100,13.67
La Paz,MX,1569358517,24.15,-110.32,89.6,35,5,5.82
Santa Quiteria do Maranhao,BR,1569358643,-3.52,-42.55,79.69,67,87,5.77
Velikiy Ustyug,RU,1569358643,60.76,46.3,34.87,95,98,6.69
Lavrentiya,RU,1569358643,65.58,-170.99,33.61,70,0,6.49
Turayf,SA,1569358644,31.68,38.65,77,22,0,8.05
Chekhov,RU,1569358644,55.14,37.45,41,80,0,6.71
Ucluelet,CA,1569358485,48.94,-125.55,69.01,77,40,10.29
Makubetsu,JP,1569358644,42.84,143.34,47.47,75,0,7.05
Angoche,MZ,1569358645,-16.23,39.91,73.21,87,0,6.31
Kudahuvadhoo,MV,1569358645,2.67,72.89,80.23,75,100,8.59
Kununurra,AU,1569358646,-15.77,128.74,75.2,23,40,11.41
Kokopo,PG,1569358646,-4.34,152.27,72.85,91,100,1.95
Gat,SN,1569358646,14.69,-16.54,80.6,88,23,3.36
Ixtapa,MX,1569358646,20.71,-105.21,89.6,75,40,12.75
Bud,NO,1569358647,62.91,6.91,53.6,93,20,8.05
Solnechnyy,RU,1569358647,50.72,136.64,37.57,74,27,10.18
Batemans Bay,AU,1569358647,-35.71,150.18,46,86,99,4
Marawi,PH,1569358647,8,124.29,73.99,82,45,5.99
Catemaco,MX,1569358648,18.42,-95.11,89.6,62,75,11.41
Idenao,CM,1569358648,4.25,9,78.8,88,75,8.05
Makat,KZ,1569358648,47.65,53.35,48.19,37,0,4.23
Taoudenni,ML,1569358361,22.68,-3.98,98.41,9,0,8.81
Sheridan,US,1569358649,39.65,-105.03,86,10,40,4.7
Lluta,PE,1569358649,-16.02,-72.01,69.8,16,0,9.17
Rio Hato,PA,1569358649,8.38,-80.16,84.2,74,40,6.93
Uncia,BO,1569358649,-18.47,-66.57,63.67,27,96,12.37
Hihya,EG,1569358650,30.67,31.59,75.2,69,0,10.29
Marsh Harbour,BS,1569358650,26.54,-77.06,78.61,74,98,12.37
Hastings,NZ,1569358650,-39.64,176.84,49.81,63,29,17.87
Timra,SE,1569358651,62.49,17.33,48,87,0,5.82
Grindavik,IS,1569358651,63.84,-22.43,53.6,100,75,12.75
Bintulu,MY,1569358364,3.17,113.03,78.8,100,75,1.12
Geraldton,CA,1569358651,49.72,-86.95,71.6,43,75,18.34
Tulum,MX,1569358652,20.21,-87.46,89.6,75,40,6.93
Khartoum,SD,1569358652,15.59,32.54,93.2,32,64,9.17
Paamiut,GL,1569358653,61.99,-49.67,40.81,86,100,30.91
Taybad,IR,1569358653,34.74,60.78,57.73,42,0,3.69
Shingu,JP,1569358653,33.72,135.99,56.83,94,6,5.84
Gobabis,NA,1569358654,-22.45,18.97,64.4,10,0,2.24
Nauta,PE,1569358654,-4.51,-73.58,73.21,97,100,5.7
Zenzeli,RU,1569358654,45.92,47.05,53.77,72,66,10.25
Aitape,PG,1569358655,-3.15,142.36,77.17,88,100,3.67
Araouane,ML,1569358655,18.9,-3.53,97.69,7,0,7.43
Hakkari,FI,1569358655,61.34,23.75,43,100,90,4.7
Port Hardy,CA,1569358655,50.7,-127.42,55.4,93,75,8.05
Acapulco,MX,1569358656,16.86,-99.88,84.2,79,90,3.36
Pimentel,BR,1569358656,-3.7,-45.5,84.73,58,26,3.69
Takab,IR,1569358656,36.4,47.11,41.17,60,0,1.16
Bridgewater,CA,1569358657,44.38,-64.52,64.99,90,100,8.95
Tonk,IN,1569358657,26.16,75.79,76.45,88,0,7.74
Papara,BR,1569358657,-3.98,-38.73,82.4,65,0,13.87
Hilton Head Island,US,1569358658,32.16,-80.75,93.2,38,1,3.36
Hailar,CN,1569358658,49.2,119.7,45.67,61,0,6.26
Yeniseysk,RU,1569358658,58.45,92.17,46.75,78,98,5.91
Guanica,PR,1569358658,17.97,-66.91,84,88,90,3.36
Coquimbo,CL,1569358659,-29.95,-71.34,57.2,67,20,13.87
Bloomfield,US,1569358397,40.75,-92.42,82.4,45,1,14.99
Cassilandia,BR,1569358659,-19.11,-51.73,88.33,31,55,10.02
Kijang,KR,1569358660,35.24,129.21,57.2,87,0,6.93
Ponta Delgada,PT,1569358660,37.73,-25.67,71.01,77,20,2.24
Huanren,CN,1569358661,41.26,125.37,45.49,90,33,1.72
Kloulklubed,PW,1569358661,7.04,134.26,82.39,76,0,10.02
Quibdo,CO,1569358432,5.69,-76.66,71.6,53,40,11.41
Itoman,JP,1569358662,26.12,127.67,77,83,20,5.82
Jalu,LY,1569358662,29.03,21.55,76.63,31,0,2.82
